src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,negative_about,11
0,positive_about,12
0,negative_about,12
0,reviewed,13
0,rated_5,13
13,interacted_at,14
13,belongs_to,3
13,belongs_to,4
13,belongs_to,15
13,belongs_to,16
13,belongs_to,17
13,belongs_to,18
13,sold_by,19
13,has_price_range,20
0,reviewed,21
0,rated_5,21
21,interacted_at,22
21,belongs_to,3
21,belongs_to,4
21,belongs_to,23
21,belongs_to,24
21,sold_by,25
21,has_price_range,26
