node_id,node_attr
0,user:current_user
1,item:b009xjvk1w
2,time_bucket:2013_02
3,category:digital_music
4,category:cds_vinyl
5,category:metal
6,category:pop_metal
7,store:red_format:_audio_cd
8,price_range:unknown
9,item:b00ebwhv4q
10,time_bucket:2013_12
11,category:pop
12,store:ed_kowalczyk_artist_format:_audio_cd
13,price_range:medium
14,item:b000f6zico
15,time_bucket:2014_09
16,category:indie_alternative
17,category:alternative_rock
18,category:american_alternative
19,store:mercy_fall_format:_audio_cd
20,price_range:low
